Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,season,home_avg_goals,away_avg_goals,goal_diff,result
2018-08-11,Newcastle,Tottenham,1,2,A,E0_18_19.csv,1.0,1.6,-0.6000000000000001,2
2018-08-11,Watford,Brighton,2,0,H,E0_18_19.csv,1.0,1.4,-0.3999999999999999,0
2018-08-11,Wolves,Everton,2,2,D,E0_18_19.csv,1.0,1.8,-0.8,1
2018-08-12,Arsenal,Man City,0,2,A,E0_18_19.csv,1.0,1.8,-0.8,2
2018-08-12,Liverpool,West Ham,4,0,H,E0_18_19.csv,1.8,1.2,0.6000000000000001,0
2018-08-12,Southampton,Burnley,0,0,D,E0_18_19.csv,1.6,0.8,0.8,1
2018-08-17,Girona,Valladolid,0,0,D,SP1 (7).csv,1.2,0.8,0.3999999999999999,1
2018-08-17,Betis,Levante,0,3,A,SP1 (7).csv,0.8,1.0,-0.19999999999999996,2
2018-08-18,Everton,Southampton,2,1,H,E0_18_19.csv,1.2,0.8,0.3999999999999999,0
2018-08-18,Leicester,Wolves,2,0,H,E0_18_19.csv,0.8,0.8,0.0,0
2018-08-18,Tottenham,Fulham,3,1,H,E0_18_19.csv,1.4,1.0,0.3999999999999999,0
2018-08-18,West Ham,Bournemouth,1,2,A,E0_18_19.csv,1.6,1.4,0.20000000000000018,2
2018-08-18,Chelsea,Arsenal,3,2,H,E0_18_19.csv,2.2,1.2,1.0000000000000002,0
2018-08-18,Cardiff,Newcastle,0,0,D,E0_18_19.csv,1.8,1.0,0.8,1
2018-08-18,Celta,Espanol,1,1,D,SP1 (7).csv,1.6,1.2,0.40000000000000013,1
2018-08-18,Villarreal,Sociedad,1,2,A,SP1 (7).csv,1.2,1.4,-0.19999999999999996,2
2018-08-18,Barcelona,Alaves,3,0,H,SP1 (7).csv,1.6,1.0,0.6000000000000001,0
2018-08-19,Burnley,Watford,1,3,A,E0_18_19.csv,1.2,1.2,0.0,2
2018-08-19,Brighton,Man United,3,2,H,E0_18_19.csv,1.8,1.6,0.19999999999999996,0
2018-08-19,Man City,Huddersfield,6,1,H,E0_18_19.csv,2.8,1.6,1.1999999999999997,0
2018-08-19,Eibar,Huesca,1,2,A,SP1 (7).csv,2.8,1.6,1.1999999999999997,2
2018-08-19,Real Madrid,Getafe,2,0,H,SP1 (7).csv,2.6,1.6,1.0,0
2018-08-19,Vallecano,Sevilla,1,4,A,SP1 (7).csv,2.6,1.8,0.8,2
2018-08-20,Crystal Palace,Liverpool,0,2,A,E0_18_19.csv,2.0,1.8,0.19999999999999996,2
2018-08-20,Ath Bilbao,Leganes,2,1,H,SP1 (7).csv,1.2,1.8,-0.6000000000000001,0
2018-08-20,Valencia,Ath Madrid,1,1,D,SP1 (7).csv,1.2,1.6,-0.40000000000000013,1
2018-08-24,Getafe,Eibar,2,0,H,SP1 (7).csv,1.2,1.6,-0.40000000000000013,0
2018-08-24,Leganes,Sociedad,2,2,D,SP1 (7).csv,1.4,1.2,0.19999999999999996,1
2018-08-25,Valladolid,Barcelona,0,1,A,SP1 (7).csv,1.4,1.0,0.3999999999999999,2
2018-08-25,Arsenal,West Ham,3,1,H,E0_18_19.csv,1.6,1.0,0.6000000000000001,0
2018-08-25,Bournemouth,Everton,2,2,D,E0_18_19.csv,1.8,1.2,0.6000000000000001,1
2018-08-25,Huddersfield,Cardiff,0,0,D,E0_18_19.csv,1.4,1.2,0.19999999999999996,1
2018-08-25,Southampton,Leicester,1,2,A,E0_18_19.csv,1.2,1.2,0.0,2
2018-08-25,Wolves,Man City,1,1,D,E0_18_19.csv,1.4,1.2,0.19999999999999996,1
2018-08-25,Liverpool,Brighton,1,0,H,E0_18_19.csv,1.0,1.0,0.0,0
2018-08-25,Ath Madrid,Vallecano,1,0,H,SP1 (7).csv,0.8,0.6,0.20000000000000007,0
2018-08-25,Alaves,Betis,0,0,D,SP1 (7).csv,0.8,0.6,0.20000000000000007,1
2018-08-26,Espanol,Valencia,2,0,H,SP1 (7).csv,1.0,0.2,0.8,0
2018-08-26,Girona,Real Madrid,1,4,A,SP1 (7).csv,1.0,0.8,0.19999999999999996,2
2018-08-26,Sevilla,Villarreal,0,0,D,SP1 (7).csv,0.8,0.8,0.0,1
2018-08-26,Watford,Crystal Palace,2,1,H,E0_18_19.csv,1.0,1.0,0.0,0
2018-08-26,Newcastle,Chelsea,1,2,A,E0_18_19.csv,1.2,1.4,-0.19999999999999996,2
2018-08-26,Fulham,Burnley,4,2,H,E0_18_19.csv,1.6,1.8,-0.19999999999999996,0
2018-08-27,Man United,Tottenham,0,3,A,E0_18_19.csv,1.4,1.6,-0.20000000000000018,2
2018-08-27,Ath Bilbao,Huesca,2,2,D,SP1 (7).csv,1.8,2.0,-0.19999999999999996,1
2018-08-27,Levante,Celta,1,2,A,SP1 (7).csv,1.6,2.2,-0.6000000000000001,2
2018-08-31,Getafe,Valladolid,0,0,D,SP1 (7).csv,1.4,1.8,-0.40000000000000013,1
2018-08-31,Eibar,Sociedad,2,1,H,SP1 (7).csv,1.0,1.6,-0.6000000000000001,0
2018-08-31,Villarreal,Girona,0,1,A,SP1 (7).csv,1.0,1.2,-0.19999999999999996,2
2018-09-01,Celta,Ath Madrid,2,0,H,SP1 (7).csv,1.0,0.8,0.19999999999999996,0
2018-09-01,Real Madrid,Leganes,4,1,H,SP1 (7).csv,1.6,0.6,1.0,0
2018-09-01,Man City,Newcastle,2,1,H,E0_18_19.csv,2.0,0.8,1.2,0
2018-09-01,West Ham,Wolves,0,1,A,E0_18_19.csv,1.6,0.8,0.8,2
2018-09-01,Leicester,Liverpool,1,2,A,E0_18_19.csv,1.8,1.0,0.8,2
2018-09-01,Chelsea,Bournemouth,2,0,H,E0_18_19.csv,1.8,1.0,0.8,0
2018-09-01,Crystal Palace,Southampton,0,2,A,E0_18_19.csv,1.0,1.2,-0.19999999999999996,2
2018-09-01,Everton,Huddersfield,1,1,D,E0_18_19.csv,0.8,1.2,-0.3999999999999999,1
2018-09-01,Brighton,Fulham,2,2,D,E0_18_19.csv,1.2,1.4,-0.19999999999999996,1
2018-09-02,Barcelona,Huesca,8,2,H,SP1 (7).csv,2.6,1.4,1.2000000000000002,0
2018-09-02,Alaves,Espanol,2,1,H,SP1 (7).csv,2.6,1.6,1.0,0
2018-09-02,Watford,Tottenham,2,1,H,E0_18_19.csv,3.0,1.4,1.6,0
2018-09-02,Levante,Valencia,2,2,D,SP1 (7).csv,3.2,1.6,1.6,1
2018-09-02,Cardiff,Arsenal,2,3,A,E0_18_19.csv,3.2,1.8,1.4000000000000001,2
2018-09-02,Burnley,Man United,0,2,A,E0_18_19.csv,1.6,1.8,-0.19999999999999996,2
2018-09-02,Betis,Sevilla,1,0,H,SP1 (7).csv,1.4,1.6,-0.20000000000000018,0
2018-09-14,Huesca,Vallecano,0,1,A,SP1 (7).csv,1.0,1.6,-0.6000000000000001,2
2018-09-15,Ath Bilbao,Real Madrid,1,1,D,SP1 (7).csv,0.8,1.4,-0.5999999999999999,1
2018-09-15,Chelsea,Cardiff,4,1,H,E0_18_19.csv,1.2,1.0,0.19999999999999996,0
2018-09-15,Valencia,Betis,0,0,D,SP1 (7).csv,1.2,0.6,0.6,1
2018-09-15,Watford,Man United,1,2,A,E0_18_19.csv,1.2,1.0,0.19999999999999996,2
2018-09-15,Sociedad,Barcelona,1,2,A,SP1 (7).csv,1.4,1.2,0.19999999999999996,2
2018-09-15,Tottenham,Liverpool,1,2,A,E0_18_19.csv,1.4,1.4,0.0,2
2018-09-15,Ath Madrid,Eibar,1,1,D,SP1 (7).csv,0.8,1.4,-0.5999999999999999,1
2018-09-15,Man City,Fulham,3,0,H,E0_18_19.csv,1.4,1.4,0.0,0
2018-09-15,Huddersfield,Crystal Palace,0,1,A,E0_18_19.csv,1.2,1.2,0.0,2
2018-09-15,Bournemouth,Leicester,4,2,H,E0_18_19.csv,1.8,1.2,0.6000000000000001,0
2018-09-15,Newcastle,Arsenal,1,2,A,E0_18_19.csv,1.8,1.2,0.6000000000000001,2
2018-09-16,Valladolid,Alaves,0,1,A,SP1 (7).csv,1.6,1.2,0.40000000000000013,2
2018-09-16,Sevilla,Getafe,0,2,A,SP1 (7).csv,1.0,1.6,-0.6000000000000001,2
2018-09-16,Wolves,Burnley,1,0,H,E0_18_19.csv,1.2,1.4,-0.19999999999999996,0
2018-09-16,Espanol,Levante,1,0,H,SP1 (7).csv,0.6,1.0,-0.4,0
2018-09-16,Leganes,Villarreal,0,1,A,SP1 (7).csv,0.4,0.8,-0.4,2
2018-09-16,Everton,West Ham,1,3,A,E0_18_19.csv,0.6,1.2,-0.6,2
2018-09-17,Girona,Celta,3,2,H,SP1 (7).csv,1.2,1.2,0.0,0
2018-09-17,Southampton,Brighton,2,2,D,E0_18_19.csv,1.4,1.6,-0.20000000000000018,1
